# external cosmogenics, factorised sampling table
# generated by make_external_cosmogenics_table.py from a 189875-row CSV
# energy in keV; cos_theta measured about the drift axis; phi in rad
#
# SPECIES <pdg> <n_particles> <representation>
# L    <ekin_keV> <count>                 discrete line, exact energy
# E    <lo_keV> <hi_keV> <count>          quantile-spaced continuum
# A    <cos_lo> <cos_hi> <phi_lo> <phi_hi> <count>
# RAW  <ekin_keV> <dirX> <dirY> <dirZ>    species below 200 particles

A -0.8750 -0.7500 2.0944 2.6180 1314
A -0.8750 -0.7500 2.6180 3.1416 1330
A -0.7500 -0.6250 -3.1416 -2.6180 1064
A -0.7500 -0.6250 -2.6180 -2.0944 1401
A -0.7500 -0.6250 -2.0944 -1.5708 1680
A -0.7500 -0.6250 -1.5708 -1.0472 1671
A -0.7500 -0.6250 -1.0472 -0.5236 1404
A -0.7500 -0.6250 -0.5236 0.0000 1057
A -0.7500 -0.6250 0.0000 0.5236 997
A -0.7500 -0.6250 0.5236 1.0472 1078
A -0.7500 -0.6250 1.0472 1.5708 1101
A -0.7500 -0.6250 1.5708 2.0944 1091
A -0.7500 -0.6250 2.0944 2.6180 944
A -0.7500 -0.6250 2.6180 3.1416 1034
A -0.6250 -0.5000 -3.1416 -2.6180 712
A -0.6250 -0.5000 -2.6180 -2.0944 978
A -0.6250 -0.5000 -2.0944 -1.5708 1234
A -0.6250 -0.5000 -1.5708 -1.0472 1205
A -0.6250 -0.5000 -1.0472 -0.5236 986
A -0.6250 -0.5000 -0.5236 0.0000 730
A -0.6250 -0.5000 0.0000 0.5236 738
A -0.6250 -0.5000 0.5236 1.0472 848
A -0.6250 -0.5000 1.0472 1.5708 871
A -0.6250 -0.5000 1.5708 2.0944 908
A -0.6250 -0.5000 2.0944 2.6180 830
A -0.6250 -0.5000 2.6180 3.1416 665
A -0.5000 -0.3750 -3.1416 -2.6180 510
A -0.5000 -0.3750 -2.6180 -2.0944 657
A -0.5000 -0.3750 -2.0944 -1.5708 749
A -0.5000 -0.3750 -1.5708 -1.0472 761
A -0.5000 -0.3750 -1.0472 -0.5236 661
A -0.5000 -0.3750 -0.5236 0.0000 508
A -0.5000 -0.3750 0.0000 0.5236 539
A -0.5000 -0.3750 0.5236 1.0472 595
A -0.5000 -0.3750 1.0472 1.5708 686
A -0.5000 -0.3750 1.5708 2.0944 682
A -0.5000 -0.3750 2.0944 2.6180 638
A -0.5000 -0.3750 2.6180 3.1416 528
A -0.3750 -0.2500 -3.1416 -2.6180 329
A -0.3750 -0.2500 -2.6180 -2.0944 454
A -0.3750 -0.2500 -2.0944 -1.5708 565
A -0.3750 -0.2500 -1.5708 -1.0472 499
A -0.3750 -0.2500 -1.0472 -0.5236 453
A -0.3750 -0.2500 -0.5236 0.0000 330
A -0.3750 -0.2500 0.0000 0.5236 357
A -0.3750 -0.2500 0.5236 1.0472 471
A -0.3750 -0.2500 1.0472 1.5708 542
A -0.3750 -0.2500 1.5708 2.0944 561
A -0.3750 -0.2500 2.0944 2.6180 475
A -0.3750 -0.2500 2.6180 3.1416 329
A -0.2500 -0.1250 -3.1416 -2.6180 193
A -0.2500 -0.1250 -2.6180 -2.0944 272
A -0.2500 -0.1250 -2.0944 -1.5708 386
A -0.2500 -0.1250 -1.5708 -1.0472 356
A -0.2500 -0.1250 -1.0472 -0.5236 313
A -0.2500 -0.1250 -0.5236 0.0000 197
A -0.2500 -0.1250 0.0000 0.5236 206
A -0.2500 -0.1250 0.5236 1.0472 356
A -0.2500 -0.1250 1.0472 1.5708 422
A -0.2500 -0.1250 1.5708 2.0944 454
A -0.2500 -0.1250 2.0944 2.6180 379
A -0.2500 -0.1250 2.6180 3.1416 230
A -0.1250 0.0000 -3.1416 -2.6180 104
A -0.1250 0.0000 -2.6180 -2.0944 201
A -0.1250 0.0000 -2.0944 -1.5708 245
A -0.1250 0.0000 -1.5708 -1.0472 258
A -0.1250 0.0000 -1.0472 -0.5236 209
A -0.1250 0.0000 -0.5236 0.0000 109
A -0.1250 0.0000 0.0000 0.5236 118
A -0.1250 0.0000 0.5236 1.0472 237
A -0.1250 0.0000 1.0472 1.5708 328
A -0.1250 0.0000 1.5708 2.0944 311
A -0.1250 0.0000 2.0944 2.6180 240
A -0.1250 0.0000 2.6180 3.1416 134
A 0.0000 0.1250 -3.1416 -2.6180 79
A 0.0000 0.1250 -2.6180 -2.0944 163
A 0.0000 0.1250 -2.0944 -1.5708 223
A 0.0000 0.1250 -1.5708 -1.0472 221
A 0.0000 0.1250 -1.0472 -0.5236 130
A 0.0000 0.1250 -0.5236 0.0000 91
A 0.0000 0.1250 0.0000 0.5236 73
A 0.0000 0.1250 0.5236 1.0472 209
A 0.0000 0.1250 1.0472 1.5708 285
A 0.0000 0.1250 1.5708 2.0944 282
A 0.0000 0.1250 2.0944 2.6180 222
A 0.0000 0.1250 2.6180 3.1416 104
A 0.1250 0.2500 -3.1416 -2.6180 84
A 0.1250 0.2500 -2.6180 -2.0944 202
A 0.1250 0.2500 -2.0944 -1.5708 240
A 0.1250 0.2500 -1.5708 -1.0472 223
A 0.1250 0.2500 -1.0472 -0.5236 211
A 0.1250 0.2500 -0.5236 0.0000 85
A 0.1250 0.2500 0.0000 0.5236 100
A 0.1250 0.2500 0.5236 1.0472 219
A 0.1250 0.2500 1.0472 1.5708 305
A 0.1250 0.2500 1.5708 2.0944 331
A 0.1250 0.2500 2.0944 2.6180 190
A 0.1250 0.2500 2.6180 3.1416 103
A 0.2500 0.3750 -3.1416 -2.6180 99
A 0.2500 0.3750 -2.6180 -2.0944 193
A 0.2500 0.3750 -2.0944 -1.5708 238
A 0.2500 0.3750 -1.5708 -1.0472 246
A 0.2500 0.3750 -1.0472 -0.5236 222
A 0.2500 0.3750 -0.5236 0.0000 103
A 0.2500 0.3750 0.0000 0.5236 104
A 0.2500 0.3750 0.5236 1.0472 199
A 0.2500 0.3750 1.0472 1.5708 308
A 0.2500 0.3750 1.5708 2.0944 297
A 0.2500 0.3750 2.0944 2.6180 233
A 0.2500 0.3750 2.6180 3.1416 101
A 0.3750 0.5000 -3.1416 -2.6180 133
A 0.3750 0.5000 -2.6180 -2.0944 192
